,company_id,mean_share_outstanding_2021,mean_share_outstanding_2022,mean_share_outstanding_2023,mean_eps_2021,mean_eps_2022,mean_eps_2023,mean_pe_ratio_2021,mean_pe_ratio_2022,mean_pe_ratio_2023,mean_price_to_sales_2021,mean_price_to_sales_2022,mean_price_to_sales_2023,mean_ebitda_2021,mean_ebitda_2022,mean_ebitda_2023,mean_return_on_assets_2021,mean_return_on_assets_2022,mean_return_on_assets_2023,mean_return_on_equity_2021,mean_return_on_equity_2022,mean_return_on_equity_2023,mean_return_on_capital_employed_2021,mean_return_on_capital_employed_2022,mean_return_on_capital_employed_2023,mean_interest_coverage_2021,mean_interest_coverage_2022,mean_interest_coverage_2023,cluster
49,49,3680000000.0,3680000000.0,3680000000.0,121.46000000000001,125.1225,114.74666666666667,107.05,157.83249999999998,93.48,11.335,9.18,8.776666666666667,830970000000.0,863662500000.0,843143333333.3334,0.01685,0.018299999999999976,0.0166,0.0207,0.023925000000000002,0.021066666666666633,0.022675,0.027325000000000002,0.023900000000000005,93.08,48.38,40.196666666666665,2
50,50,5430000000.0,8060000000.000001,8060000000.000001,310.59000000000003,146.46,115.22666666666667,104.76,131.44250000000002,73.82333333333334,4.5075,4.327500000000001,5.446666666666666,5200630000000.0,6052290000000.0,5999386666666.667,0.024425,0.01115,0.008266666666666667,0.10984999999999998,0.041375,0.03226666666666663,0.06384999999999998,0.039925,0.030266666666666633,3.4325,2.4175,1.9466666666666665,2
51,51,1130000000.0,1130000000.0,1130000000.0,1502.35,4139.99,1854.1333333333334,13.6,8.8125,16.78333333333333,2.6675,2.8825000000000003,3.6733333333333333,3055250000000.0,7180685000000.0,2842343333333.3335,0.078775,0.13467500000000002,0.05739999999999997,0.11080000000000001,0.18475,0.081,0.17745,0.263875,0.08873333333333333,156.7275,271.59749999999997,148.98333333333332,2
52,52,11730000000.0,11730000000.0,11730000000.0,43.120000000000005,30.2675,26.643333333333334,-139.20250000000001,-418.71999999999997,4.060000000000001,1.93,1.435,1.1666666666666667,1117832500000.0,950672500000.0,937703333333.3334,0.016425,0.011175000000000001,0.008933333333333333,0.043025,0.027874999999999997,0.023999999999999997,0.03692500000000003,0.030549999999999997,0.0289666666666667,3.9175,3.425,2.6833333333333336,2
53,53,7260000000.0,7260000000.0,7260000000.0,55.64,94.6175,274.39,-3.6525,61.262499999999996,31.926666666666666,7.414999999999999,6.0825,5.82,1782825000000.0,1988307500000.0,1251433333333.3333,0.00395,0.0073,0.0170333333333333,0.01995,0.031875,0.07636666666666664,0.014,0.01615,0.019466666666666667,1.1225,1.4124999999999999,1.96,2
54,54,46880000000.0,46880000000.0,46880000000.0,16.9775,18.0375,14.683333333333335,89.0275,99.4425,137.10333333333332,10.7725,11.620000000000001,12.266666666666666,1177607500000.0,1236480000000.0,1077160000000.0,0.03269999999999999,0.032025,0.024866666666666634,0.042775,0.042725,0.03326666666666667,0.048674999999999975,0.04769999999999997,0.03926666666666667,70.6575,80.375,36.28,0
55,55,2860000000.0,2860000000.0,2860000000.0,77.30250000000001,21.02,-31.903333333333332,50.8575,-26.88499999999999,-66.62666666666667,9.969999999999999,10.21,5.253333333333333,624895000000.0,658442500000.0,306786666666.6667,0.0242,0.00565,-0.007366666666666666,0.044475,0.011049999999999975,-0.019466666666666667,0.050074999999999974,0.021324999999999976,0.008933333333333333,6.8575,2.2275,0.6333333333333334,1
56,56,70900000000.0,70900000000.0,70900000000.0,-5.6525,-9.4925,3.703333333333333,-3.0549999999999997,-11.485,189.52666666666667,2.965,2.09,1.6066666666666667,1690585000000.0,294250000000.0,1256693333333.3333,-0.0072,-0.013175000000000001,0.005233333333333333,-0.022125000000000027,-0.040075,0.016000000000000004,0.0074,0.000675,0.02513333333333333,0.6,0.06000000000000001,2.2066666666666666,1
57,57,2630000000.0,2495000000.0,2326666666.6666665,86.9,136.575,88.54,-21.035,57.6,9.060000000000002,6.674999999999999,8.265,5.403333333333333,508847500000.0,656117500000.0,543056666666.6667,0.03584999999999997,0.063225,0.03686666666666663,0.153125,0.8040499999999999,-6.196533333333334,0.077,0.14524999999999996,0.11699999999999998,21.2775,8.5125,4.22,2
58,58,6820000000.0,6820000000.0,6820000000.0,36.32,37.9775,22.356666666666666,32.6625,30.9375,70.31666666666666,7.1025,7.6675,7.109999999999999,393572500000.0,394267500000.0,287526666666.6667,0.0213,0.02095,0.012233333333333332,0.02515,0.024299999999999974,0.013866666666666666,0.027725,0.02615,0.0124,3760.6375000000003,1790.2624999999998,1164.8933333333332,2
59,59,2240000000.0,2240000000.0,2240000000.0,6.739999999999999,2.9299999999999997,6.823333333333333,19.62,57.9475,7.626666666666668,0.7225,0.48250000000000004,0.33666666666666667,132432500000.0,116432500000.0,64503333333.333336,0.003224999999999999,0.0011250000000000006,0.002966666666666666,0.006775,0.0028249999999999994,0.004666666666666662,0.01935,0.015349999999999999,0.028333333333333332,1.9349999999999998,0.8225,2.186666666666667,1
60,60,16600000000.000002,16600000000.000002,16600000000.000002,6.61,31.7725,29.900000000000002,124.91999999999999,34.199999999999996,57.906666666666666,2.815,2.6725000000000003,3.5,860497500000.0,1365825000000.0,1457433333333.3333,0.006399999999999974,0.028075,0.0218,0.017475,0.07375,0.05553333333333333,0.030225,0.067,0.0603,2.4725,6.5649999999999995,8.03,2
61,61,25140000000.0,25140000000.0,25140000000.0,6.677499999999999,82.32749999999999,49.776666666666664,59.625,9.8525,27.006666666666664,2.9850000000000003,2.2025,3.3833333333333333,2533015000000.0,6279722500000.0,4808290000000.0,0.002175,0.019799999999999998,0.012033333333333333,0.010775,0.100975,0.04756666666666667,0.022099999999999974,0.04959999999999998,0.035266666666666634,1.79,3.9425,2.9066666666666667,2
